Test,repo,sha,author,date_iso,subject,file_path,pandas_type_all,polars_type_all,macro_primary,macro_all,macro_evidence,pandas_evidence,polars_evidence,patch_lines_file,pandas_type_all.1,polars_type_all.1,macro_all.1
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),src/bundestag/data/transform/abgeordnetenwatch/process/votes.py,General functions,Expressions - Columns/names;Expressions - Functions;Functions,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b,42,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),src/bundestag/data/transform/abgeordnetenwatch/transform.py,Other pandas API,Expressions - Columns/names,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Expressions - Columns/names:\b(?:pl|polars)\.col\b,37,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),src/bundestag/data/transform/bundestag_sheets.py,"Input/output;General functions;pandas arrays, scalars, and data types",Expressions - Columns/names;Expressions - Functions;Functions;Input/output - Excel,IO boundary,IO boundary;Aggregation & joins;Types & schema,"pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins|pandas:pandas arrays, scalars, and data types->Types & schema","Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b|pandas arrays, scalars, and data types:\b(?:pd|pandas)\.(?:Timestamp|Timedelta|Period|Interval|Categorical)(?:\.\w+)*\b",Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b|Input/output - Excel:\b(?:pl|polars)\.(?:read_excel|read_ods)\b,274,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),src/bundestag/gui.py,General functions,Expressions - Columns/names;Expressions - Functions,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:date_range|bdate_range|period_range|timedelta_range|infer_freq|interval_range)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b,51,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),src/bundestag/poll_clustering.py,Other pandas API,Functions,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b,100,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),src/bundestag/similarity.py,General functions;GroupBy,Expressions - Columns/names;Expressions - Functions;Functions,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins|pandas:GroupBy->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:merge|merge_ordered|merge_asof|concat)\b|GroupBy:\b(?:pd|pandas)\.Grouper\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b,201,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),src/bundestag/vote_prediction.py,GroupBy,Expressions - Columns/names;Expressions - Functions,Aggregation & joins,Aggregation & joins,pandas:GroupBy->Aggregation & joins,GroupBy:\b(?:pd|pandas)\.NamedAgg\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b,163,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/conftest.py,Input/output,Expressions - Columns/names;Input/output - Parquet,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Input/output - Parquet:\b(?:pl|polars)\.(?:read_parquet|read_parquet_metadata|read_parquet_schema|scan_parquet)\b,41,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/data/transform/abgeordnetenwatch/test_helper.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,37,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/data/transform/process/conftest.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,141,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/data/transform/process/test_mandates.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,10,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/data/transform/process/test_polls.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,19,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/data/transform/process/test_votes.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,13,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/data/transform/test_abgeordnetenwatch.py,Other pandas API,Functions,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b,122,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/data/transform/test_bundestag_sheets.py,"Input/output;General functions;pandas arrays, scalars, and data types",Expressions - Columns/names;Functions,IO boundary,IO boundary;Aggregation & joins;Types & schema,"pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins|pandas:pandas arrays, scalars, and data types->Types & schema","Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b|pandas arrays, scalars, and data types:\b(?:pd|pandas)\.(?:Timestamp|Timedelta|Period|Interval|Categorical)(?:\.\w+)*\b",Expressions - Columns/names:\b(?:pl|polars)\.col\b|Functions:\b(?:pl|polars)\.(?:from_arrow|from_dataframe|from_dict|from_dicts|from_numpy|from_pandas|from_records|from_repr|json_normalize|align_frames|concat|union|defer|escape_regex|collect_all|collect_all_async|explain_all|set_random_seed|register_extension_type|unregister_extension_type|get_extension_type|StringCache|enable_string_cache|disable_string_cache|using_string_cache)\b,414,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/test_poll_clustering.py,Other pandas API,Expressions - Columns/names,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Expressions - Columns/names:\b(?:pl|polars)\.col\b,101,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/test_similarity.py,General functions,Other polars API,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,89,,,
No,eschmidt42/bundestag,9b165170fed7bb993ca7bf005a1dc51b97bf30bf,Eric Schmidt,2025-09-03T19:36:33+02:00,chore: swap pandas with polars in most places (#24),tests/test_vote_prediction.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,38,,,
Yes,huggingface/datasets,5f42139a2c5583a55d34a2f60d537f5fba285c28,Patrick Smyth,2024-08-16T08:10:37-05:00,Allow polars as valid output type (#6762),src/datasets/arrow_dataset.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,20,,,
Yes,hugof38/pysnaptest,63fe3a8d7edb686fe4eb4a7e4b86387af02fafa3,Liam Falconer,2025-01-02T23:02:32+00:00,Make pandas and polars support optional,python/pysnaptest/snapshot.py,Other pandas API,Other polars API,Other / Manual,Other / Manual,fallback:Other,Other pandas API:\b(?:pd|pandas)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,55,,,
Yes,hugof38/pysnaptest,63fe3a8d7edb686fe4eb4a7e4b86387af02fafa3,Liam Falconer,2025-01-02T23:02:32+00:00,Make pandas and polars support optional,tests/test_snapshots.py,,,Import/setup-only,Import/setup-only,Import/setup-only: import pandas -> import polars,,,29,,,
No,ideabosque/s3_connector,4f39eb50fa56a1c660c7541ba12e1e42258d4c85,GlenZan,2025-07-09T22:12:36+08:00,use polars module to replace pandas,s3_connector/s3connector.py,Input/output,Expressions - Columns/names;Expressions - Functions;Input/output - Excel,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Input/output - Excel:\b(?:pl|polars)\.(?:read_excel|read_ods)\b,42,,,
No,indapa/SolarProduction,34276152e98cc66fb122ce1040435302a5e97a96,indapa,2025-03-06T17:19:35-08:00,refactor: migrate data loading from pandas to Polars for improved performance,Solar_Production.py,Input/output,Input/output - CSV,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,26,,,
No,indapa/SolarProduction,6060c96abd9251ee7e1a7c464d9b64163ef6f468,indapa,2025-03-05T11:24:39-08:00,refactor: migrate data loading and filtering from pandas to Polars for improved performance,pages/Production_Over_Time.py,Input/output;General functions;Missing values,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,IO boundary,IO boundary;Aggregation & joins;Missing values,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins|pandas:Missing values->Missing values,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b|Missing values:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,95,,,
No,indapa/SolarProduction,910a18aa549cd86577068e38bceeceaf6950ba61,indapa,2025-02-21T21:44:36-08:00,refactor: enhance cumulative and monthly production plotting with Polars for better performance,pages/Comparative_Production.py,Input/output;General functions,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,IO boundary,IO boundary;Aggregation & joins,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,179,,,
No,indapa/SolarProduction,a95fbf58d89568270beb7e8989965828829d3fbb,indapa,2025-03-04T22:00:14-08:00,refactor: migrate quarterly production plotting from pandas to Polars for improved performance,pages/Production_Over_Time.py,General functions;Missing values,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,Aggregation & joins,Aggregation & joins;Missing values,pandas:General functions->Aggregation & joins|pandas:Missing values->Missing values,General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b|Missing values:\b(?:pd|pandas)\.(?:isna|isnull|notna|notnull)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,30,,,
No,indapa/SolarProduction,b1db8be37f30ea7d1d36667b8e3611c1a9093329,indapa,2025-02-18T22:21:01-08:00,refactor: migrate data processing from pandas to polars for improved performance,Solar_Production.py,General functions,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,83,,,
No,indapa/SolarProduction,b1db8be37f30ea7d1d36667b8e3611c1a9093329,indapa,2025-02-18T22:21:01-08:00,refactor: migrate data processing from pandas to polars for improved performance,pages/Comparative_Production.py,Input/output;General functions,Expressions - Columns/names;Expressions - Functions;Input/output - CSV,IO boundary,IO boundary;Aggregation & joins,pandas:Input/output->IO boundary|pandas:General functions->Aggregation & joins,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b|General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b|Expressions - Functions:\b(?:pl|polars)\.(?:all|all_horizontal|any|any_horizontal|approx_n_unique|arange|arctan2|arctan2d|arg_sort_by|arg_where|business_day_count|coalesce|concat_arr|concat_list|concat_str|corr|count|cov|cum_count|cum_fold|cum_reduce|cum_sum|cum_sum_horizontal|date|date_range|date_ranges|datetime|datetime_range|datetime_ranges|duration|element|exclude|field|first|fold|format|from_epoch|groups|head|implode|int_range|int_ranges|last|len|linear_space|linear_spaces|lit|map_batches|map_groups|max|max_horizontal|mean|mean_horizontal|median|min|min_horizontal|n_unique|nth|ones|quantile|reduce|repeat|rolling_corr|rolling_cov|row_index|select|sql|sql_expr|std|struct|sum|sum_horizontal|tail|time|time_range|time_ranges|var|when|zeros)\b|Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,80,,,
No,indian-chutney/Finance1,1dbc3ca3b78dccda60d8414173ebbfffbee08181,ZubairShaikh2515,2025-03-14T07:33:32+05:30,changed pandas to polars,helpers.py,General functions,Expressions - Columns/names,Aggregation & joins,Aggregation & joins,pandas:General functions->Aggregation & joins,General functions:\b(?:pd|pandas)\.(?:to_numeric|to_datetime|to_timedelta)\b,Expressions - Columns/names:\b(?:pl|polars)\.col\b,39,,,
No,infiniflow/infinity,ec17225907772d92326f205027e7825659f0daa5,Xwg,2023-12-12T17:15:20+08:00,Python benchmark  (#283),python/infinity/remote_thrift/types.py,DataFrame,Other polars API,Core dataframe transforms,Core dataframe transforms,pandas:DataFrame->Core dataframe transforms,DataFrame:\b(?:pd|pandas)\.DataFrame\.\w+,Other polars API:\b(?:pl|polars)\.[A-Za-z_]\w*(?:\.[A-Za-z_]\w*)*,96,,,
No,lenvt/lxd-io,dcf228ecbd2da76f9563fbd8d4628b31769f2dc5,Lennart Vater,2025-03-28T16:09:57+01:00,Replace pandas by polars to increase speed,lxd_io/dataset.py,Input/output,Input/output - CSV,IO boundary,IO boundary,pandas:Input/output->IO boundary,Input/output:\b(?:pd|pandas)\.read_(?:pickle|table|csv|fwf|clipboard|excel|json|html|xml|hdf|feather|parquet|iceberg|orc|sas|spss|stata)\b,Input/output - CSV:\b(?:pl|polars)\.(?:read_csv|read_csv_batched|scan_csv)\b,13,,,
